PRODUCT_ID,BIN_DESCRIPTION,BIN,BIN_GROUP,COLOR
ProductA,DESCRIPTION_1,BIN0001,ATPG_INT,#FF8000
ProductA,DESCRIPTION_2,BIN0002,ATPG_INT,#FF8000
ProductA,DESCRIPTION_3,BIN0003,ATPG_INT,#FF8000
ProductA,DESCRIPTION_4,BIN0004,ATPG_INT,#FF8000
ProductA,DESCRIPTION_5,BIN0005,ATPG_INT,#FF8000
ProductA,DESCRIPTION_6,BIN0006,ATPG_INT,#FF8000
ProductA,DESCRIPTION_7,BIN0007,ATPG_SAF,#61380B
ProductA,DESCRIPTION_8,BIN0008,ATPG_SAF,#61380B
ProductA,DESCRIPTION_9,BIN0009,ATPG_SAF,#61380B
ProductA,DESCRIPTION_10,BIN0010,ATPG_SAF,#61380B
ProductA,DESCRIPTION_11,BIN0011,ATPG_SAF,#61380B
ProductA,DESCRIPTION_12,BIN0012,ATPG_SAF,#61380B
ProductA,DESCRIPTION_13,BIN0013,ATPG_SAF,#61380B
ProductA,DESCRIPTION_14,BIN0014,ATPG_SAF,#61380B
ProductA,DESCRIPTION_15,BIN0015,ATPG_SAF,#61380B
ProductA,DESCRIPTION_16,BIN0016,ATPG_SAF,#61380B
